"","TaxonKey","TaxonName","CommonName","Gear","GearName","bycatch","destruction","FunctionalGroupDescription","fish_type"
"24",600146,"Thunnus obesus","Bigeye tuna",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"25",500372,"Sphyraena","Barracudas",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"26",600226,"Xiphias gladius","Swordfish",225,"harpoons","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"27",300028,"Clupeiformes","Herrings",1410,"set gillnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"28",400314,"Carangidae","Jacks and pompanos",420,"with gorges or hooks","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"29",600107,"Katsuwonus pelamis","Skipjack tuna",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"30",600096,"Euthynnus affinis","Kawakawa",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"31",300028,"Clupeiformes","Herrings",1020,"purse seines","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"32",601343,"Pollachius virens","Saithe",840,"bottom trawls","high","destructive","Large demersals (>=90 cm)","demersal"
"33",290006,"Gastropoda","Gastropods",110,"grasping with hand","low","non-destructive","Other demersal invertebrates","demersal"
"34",600142,"Thunnus alalunga","Albacore",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"35",300028,"Clupeiformes","Herrings",850,"mid-water trawls","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"36",600146,"Thunnus obesus","Bigeye tuna",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"37",600143,"Thunnus albacares","Yellowfin tuna",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"38",600142,"Thunnus alalunga","Albacore",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"39",400043,"Clupeidae","Herrings  shads  sardines  menhadens",1020,"purse seines","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"40",600226,"Xiphias gladius","Swordfish",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"41",600107,"Katsuwonus pelamis","Skipjack tuna",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"42",600142,"Thunnus alalunga","Albacore",850,"mid-water trawls","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"43",600146,"Thunnus obesus","Bigeye tuna",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"44",600006,"Coryphaena hippurus","Common dolphinfish",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"45",600217,"Makaira indica","Black marlin",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"46",100039,"Marine fishes not identified","Marine fishes",1400,"gillnets","high","non-destructive","Medium demersals (30 - 89 cm)","demersal"
"47",601371,"Hippoglossus hippoglossus","Atlantic halibut",840,"bottom trawls","high","destructive","Large flatfishes (>=90 cm)","demersal"
"48",400416,"Scombridae","Mackerels  tunas  bonitos",1020,"purse seines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"49",400011,"Carcharhinidae","Requiem sharks",1400,"gillnets","high","non-destructive","Large sharks (>=90 cm)","pelagic"
"50",400011,"Carcharhinidae","Requiem sharks",1420,"driftnets","high","non-destructive","Large sharks (>=90 cm)","pelagic"
"51",600115,"Sarda sarda","Atlantic bonito",1020,"purse seines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"52",390002,"Teuthida","Squids",840,"bottom trawls","high","destructive","Cephalopods","demersal"
"53",600223,"Tetrapturus audax","Striped marlin",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"54",600898,"Prionace glauca","Blue shark",420,"with gorges or hooks","low","non-destructive","Large sharks (>=90 cm)","pelagic"
"55",600265,"Lutjanus gibbus","Humpback red snapper",1400,"gillnets","high","non-destructive","Medium reef assoc. fish (30 - 89 cm)","pelagic"
"56",400314,"Carangidae","Jacks and pompanos",1400,"gillnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"57",600898,"Prionace glauca","Blue shark",1420,"driftnets","high","non-destructive","Large sharks (>=90 cm)","pelagic"
"58",600419,"Argyrosomus hololepidotus","Southern meagre",1400,"gillnets","high","non-destructive","Large demersals (>=90 cm)","demersal"
"59",600303,"Cololabis saira","Pacific saury",1420,"driftnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"60",600146,"Thunnus obesus","Bigeye tuna",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"61",390002,"Teuthida","Squids",850,"mid-water trawls","high","non-destructive","Cephalopods","pelagic"
"62",100039,"Marine fishes not identified","Marine fishes",840,"bottom trawls","high","destructive","Medium demersals (30 - 89 cm)","demersal"
"63",600077,"Istiophorus platypterus","Indo-Pacific sailfish",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"64",300028,"Clupeiformes","Herrings",840,"bottom trawls","high","destructive","Small pelagics (<30 cm)","demersal"
"65",600006,"Coryphaena hippurus","Common dolphinfish",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"66",400264,"Scorpaenidae","Scorpionfishes or rockfishes",840,"bottom trawls","high","destructive","Large reef assoc. fish (>=90 cm)","demersal"
"67",600143,"Thunnus albacares","Yellowfin tuna",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"68",614290,"Thunnus orientalis","Pacific bluefin tuna",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"69",600114,"Sarda orientalis","Striped bonito",850,"mid-water trawls","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"70",600387,"Selar crumenophthalmus","Bigeye scad",840,"bottom trawls","high","destructive","Medium pelagics (30 - 89 cm)","demersal"
"71",600145,"Thunnus maccoyii","Southern bluefin tuna",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"72",601484,"Opisthonema libertate","Pacific thread herring",1020,"purse seines","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"73",400331,"Sciaenidae","Drums or croakers",850,"mid-water trawls","high","non-destructive","Medium demersals (30 - 89 cm)","pelagic"
"74",390002,"Teuthida","Squids",433,"squid hooks","low","non-destructive","Cephalopods","pelagic"
"75",100339,"Marine fishes not identified","Pelagic fishes",421,"handlines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"76",400043,"Clupeidae","Herrings  shads  sardines  menhadens",850,"mid-water trawls","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"77",600331,"Macrourus berglax","Onion-eye grenadier",420,"with gorges or hooks","low","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"78",600089,"Acanthocybium solandri","Wahoo",900,"seine nets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"79",601520,"Clupea pallasii pallasii","Pacific herring",1010,"lampara-like nets","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"80",600107,"Katsuwonus pelamis","Skipjack tuna",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"81",400314,"Carangidae","Jacks and pompanos",840,"bottom trawls","high","destructive","Medium pelagics (30 - 89 cm)","demersal"
"82",590103,"Euphausia","Euphausia",850,"mid-water trawls","high","non-destructive","Krill","pelagic"
"83",600219,"Tetrapturus albidus","Atlantic white marlin",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"84",490097,"Brachyura","Marine crabs",500,"traps","high","non-destructive","Lobsters, crabs","demersal"
"85",300060,"Perciformes","Perch-likes",840,"bottom trawls","high","destructive","Medium reef assoc. fish (30 - 89 cm)","demersal"
"86",400419,"Istiophoridae","Billfishes",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"87",400361,"Polynemidae","Threadfins",840,"bottom trawls","high","destructive","Small demersals (<30 cm)","demersal"
"88",600382,"Seriola lalandi","Yellowtail amberjack",1540,"trammel nets","high","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"89",300028,"Clupeiformes","Herrings",1400,"gillnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"90",300026,"Anguilliformes","Eels and morays",900,"seine nets","high","non-destructive","Large demersals (>=90 cm)","demersal"
"91",501940,"Sardinella","Sardinella",1400,"gillnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"92",400022,"Myliobatidae","Eagle and manta rays",420,"with gorges or hooks","low","non-destructive","Large rays (>=90 cm)","pelagic"
"93",600024,"Clupea harengus","Atlantic herring",420,"with gorges or hooks","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"94",614290,"Thunnus orientalis","Pacific bluefin tuna",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"95",490124,"Galatheidae","Squat lobsters",500,"traps","high","non-destructive","Lobsters, crabs","demersal"
"96",300026,"Anguilliformes","Eels and morays",922,"boat seines","high","non-destructive","Large demersals (>=90 cm)","demersal"
"97",600216,"Makaira nigricans","Atlantic blue marlin",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"98",600069,"Gadus morhua","Atlantic cod",1400,"gillnets","high","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"99",603915,"Tetrapturus angustirostris","Shortbill spearfish",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"100",600024,"Clupea harengus","Atlantic herring",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"101",600529,"Scophthalmus rhombus","Brill",900,"seine nets","high","non-destructive","Small to medium flatfishes (<90 cm)","demersal"
"102",400415,"Trichiuridae","Cutlassfishes",850,"mid-water trawls","high","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"103",300014,"Rajiformes","Skates and rays",840,"bottom trawls","high","destructive","Large rays (>=90 cm)","demersal"
"104",300028,"Clupeiformes","Herrings",1320,"cast nets  with or without pockets","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"105",300026,"Anguilliformes","Eels and morays",563,"pound nets","low","non-destructive","Large demersals (>=90 cm)","demersal"
"106",501135,"Sebastes","Redfishes",432,"pilks or jigs","low","non-destructive","Large reef assoc. fish (>=90 cm)","pelagic"
"107",400022,"Myliobatidae","Eagle and manta rays",840,"bottom trawls","high","destructive","Large rays (>=90 cm)","demersal"
"108",600429,"Leiostomus xanthurus","Spot croaker",1400,"gillnets","high","non-destructive","Medium demersals (30 - 89 cm)","demersal"
"109",501135,"Sebastes","Redfishes",420,"with gorges or hooks","low","non-destructive","Large reef assoc. fish (>=90 cm)","pelagic"
"110",400416,"Scombridae","Mackerels  tunas  bonitos",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"111",601732,"Mola mola","Ocean sunfish",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"112",100339,"Marine fishes not identified","Pelagic fishes",1400,"bottom trawls","high","destructive","Medium pelagics (30 - 89 cm)","demersal"
"113",600319,"Boreogadus saida","Polar cod",1400,"mid-water trawls","high","non-destructive","Medium demersals (30 - 89 cm)","pelagic"
"114",600516,"Reinhardtius hippoglossoides","Greenland halibut",420,"with gorges or hooks","low","non-destructive","Small to medium flatfishes (<90 cm)","demersal"
"115",300044,"Gadiformes","Cods",840,"bottom trawls","high","destructive","Large bathypelagics (>=90 cm)","demersal"
"116",600384,"Megalaspis cordyla","Torpedo scad",850,"mid-water trawls","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"117",500654,"Merluccius","Hakes",840,"bottom trawls","high","destructive","Medium bathydemersals (30 - 89 cm)","demersal"
"118",400076,"Salmonidae","Salmonids",1400,"gillnets","high","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"119",600115,"Sarda sarda","Atlantic bonito",424,"troll lines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"120",690269,"Pandalus borealis","Northern prawn",840,"bottom trawls","high","destructive","Shrimps","demersal"
"121",100036,"Scombroids","Tunas  bonitos  billfishes",450,"longline tuna","high","non-destructive",NA,"pelagic"
"122",600412,"Elagatis bipinnulata","Rainbow runner",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"123",400416,"Scombridae","Mackerels  tunas  bonitos",850,"mid-water trawls","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"124",100036,"Scombroids","Tunas  bonitos  billfishes",850,"mid-water trawls","high","non-destructive",NA,"pelagic"
"125",400416,"Scombridae","Mackerels  tunas  bonitos",1420,"driftnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"126",600030,"Merluccius merluccius","European hake",1400,"gillnets","high","non-destructive","Large demersals (>=90 cm)","demersal"
"127",100000,"Marine animals","Marine animals",1400,"gillnets","high","non-destructive",NA,"pelagic"
"128",600505,"Sebastes mentella","Deepwater redfish",420,"with gorges or hooks","low","non-destructive","Medium bathypelagics (30 - 89 cm)","pelagic"
"129",100345,"Shrimps  prawns","Natantian decapods",840,"bottom trawls","high","destructive",NA,"demersal"
"130",600147,"Thunnus thynnus","Atlantic bluefin tuna",400,"Lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"131",600216,"Makaira nigricans","Atlantic blue marlin",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"132",300028,"Clupeiformes","Herrings",563,"pound nets","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"133",300028,"Clupeiformes","Herrings",1010,"lampara-like nets","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"134",490058,"Cardiidae","Cockles",100,"without gear","low","non-destructive","Other demersal invertebrates","demersal"
"135",601370,"Zeus faber","John dory",840,"bottom trawls","high","destructive","Medium benthopelagics (30 - 89 cm)","demersal"
"136",601342,"Pleuronectes platessa","European plaice",1400,"gillnets","high","non-destructive","Large flatfishes (>=90 cm)","demersal"
"137",600367,"Trachurus murphyi","Inca scad",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"138",300060,"Perciformes","Perch-likes",1400,"gillnets","high","non-destructive","Medium reef assoc. fish (30 - 89 cm)","pelagic"
"139",501941,"Harengula","Herring",900,"seine nets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"140",600219,"Tetrapturus albidus","Atlantic white marlin",400,"Lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"141",300028,"Clupeiformes","Herrings",921,"beach seines","high","non-destructive","Small pelagics (<30 cm)","demersal"
"142",400206,"Exocoetidae","Flyingfishes",1210,"hand liftnets","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"143",604249,"Platichthys stellatus","Starry flounder",422,"set lines","high","non-destructive","Small to medium flatfishes (<90 cm)","pelagic"
"144",400011,"Carcharhinidae","Requiem sharks",840,"bottom trawls","high","destructive","Large sharks (>=90 cm)","demersal"
"145",600898,"Prionace glauca","Blue shark",1400,"gillnets","high","non-destructive","Large sharks (>=90 cm)","pelagic"
"146",600125,"Scomberomorus lineolatus","Streaked seerfish",1420,"driftnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"147",600367,"Trachurus murphyi","Inca scad",1400,"gillnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"148",600047,"Belone belone","Garpike",424,"troll lines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"149",400416,"Scombridae","Mackerels  tunas  bonitos",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"150",500661,"Trachurus","Jack and horse mackerels",1400,"gillnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"151",606426,"Pagrus auratus","Squirefish",420,"with gorges or hooks","low","non-destructive","Large demersals (>=90 cm)","demersal"
"152",400240,"Berycidae","Alfonsinos",840,"bottom trawls","high","destructive","Medium benthopelagics (30 - 89 cm)","demersal"
"153",600148,"Thunnus tonggol","Longtail tuna",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"154",600115,"Sarda sarda","Atlantic bonito",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"155",290012,"Holothuroidea","Sea cucumbers",830,"dredges","high","destructive",NA,"demersal"
"156",300026,"Anguilliformes","Eels and morays",850,"mid-water trawls","high","non-destructive","Large demersals (>=90 cm)","demersal"
"157",100000,"Marine animals","Marine animals",421,"handlines","low","non-destructive",NA,"pelagic"
"158",100000,"Marine animals","Marine animals",840,"bottom trawls","high","destructive",NA,"demersal"
"159",100039,"Marine fishes not identified","Marine fishes",421,"handlines","low","non-destructive","Medium demersals (30 - 89 cm)","demersal"
"160",610308,"Patagonotothen ramsayi","Ramsay's icefish",420,"with gorges or hooks","low","non-destructive","Medium benthopelagics (30 - 89 cm)","pelagic"
"161",600752,"Isurus oxyrinchus","Shortfin mako",420,"with gorges or hooks","low","non-destructive","Large sharks (>=90 cm)","pelagic"
"162",600096,"Euthynnus affinis","Kawakawa",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"163",400011,"Carcharhinidae","Requiem sharks",420,"with gorges or hooks","low","non-destructive","Large sharks (>=90 cm)","pelagic"
"164",600387,"Selar crumenophthalmus","Bigeye scad",1420,"driftnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"165",300026,"Anguilliformes","Eels and morays",1020,"purse seines","low","non-destructive","Large demersals (>=90 cm)","demersal"
"166",600216,"Makaira nigricans","Atlantic blue marlin",400,"Lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"167",300060,"Perciformes","Perch-likes",421,"handlines","low","non-destructive","Medium reef assoc. fish (30 - 89 cm)","pelagic"
"168",600117,"Scomber japonicus","Chub mackerel",1020,"purse seines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"169",600098,"Euthynnus lineatus","Black skipjack",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"170",601520,"Clupea pallasii pallasii","Pacific herring",1020,"purse seines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"171",600024,"Clupea harengus","Atlantic herring",1400,"gillnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"172",600145,"Thunnus maccoyii","Southern bluefin tuna",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"173",600326,"Merluccius productus","North Pacific hake",850,"mid-water trawls","high","non-destructive","Medium benthopelagics (30 - 89 cm)","pelagic"
"174",400043,"Clupeidae","Herrings  shads  sardines  menhadens",420,"with gorges or hooks","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"175",590051,"Strombus","Stromboid conchs",214,"tongs","low","non-destructive","Other demersal invertebrates","demersal"
"176",600367,"Trachurus murphyi","Inca scad",850,"mid-water trawls","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"177",600367,"Trachurus murphyi","Inca scad",1020,"purse seines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"178",400206,"Exocoetidae","Flyingfishes",500,"traps","high","non-destructive","Small pelagics (<30 cm)","demersal"
"179",603542,"Rachycentron canadum","Cobia",421,"handlines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"180",600243,"Oncorhynchus nerka","Sockeye salmon",1020,"purse seines","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"181",614290,"Thunnus orientalis","Pacific bluefin tuna",850,"mid-water trawls","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"182",600220,"Tetrapturus pfluegeri","Longbill spearfish",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"183",590093,"Pandalus","Pandalus shrimps",840,"bottom trawls","high","destructive","Shrimps","demersal"
"184",600319,"Boreogadus saida","Polar cod",1020,"purse seines","low","non-destructive","Medium demersals (30 - 89 cm)","demersal"
"185",600078,"Istiophorus albicans","Atlantic sailfish",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"186",500327,"Macrourus","Grenadiers",840,"bottom trawls","high","destructive","Medium benthopelagics (30 - 89 cm)","demersal"
"187",600790,"Mullus barbatus barbatus","Red mullet",850,"mid-water trawls","high","non-destructive","Medium demersals (30 - 89 cm)","pelagic"
"188",501941,"Harengula","Herring",1400,"gillnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"189",604249,"Platichthys stellatus","Starry flounder",840,"bottom trawls","high","destructive","Small to medium flatfishes (<90 cm)","demersal"
"190",100036,"Scombroids","Tunas  bonitos  billfishes",1400,"gillnets","high","non-destructive",NA,"pelagic"
"191",500147,"Argentina","Argentines",840,"bottom trawls","high","destructive","Medium pelagics (30 - 89 cm)","demersal"
"192",300028,"Clupeiformes","Herrings",1420,"driftnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"193",500351,"Rhinobatos","Guitarfish",840,"bottom trawls","high","destructive","Large rays (>=90 cm)","demersal"
"194",300028,"Clupeiformes","Herrings",1210,"hand liftnets","low","non-destructive","Small pelagics (<30 cm)","pelagic"
"195",600387,"Selar crumenophthalmus","Bigeye scad",420,"with gorges or hooks","low","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"196",500705,"Diplodus","Seabreams and porgies",840,"bottom trawls","high","destructive","Medium benthopelagics (30 - 89 cm)","demersal"
"197",601381,"Melanogrammus aeglefinus","Haddock",840,"bottom trawls","high","destructive","Medium demersals (30 - 89 cm)","demersal"
"198",507720,"Stolephorus","Indo-Pacific anchovies",840,"bottom trawls","high","destructive","Small pelagics (<30 cm)","demersal"
"199",607039,"Dissostichus mawsoni","Antarctic toothfish",420,"with gorges or hooks","low","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"200",400364,"Scaridae","Parrotfishes",500,"traps","high","non-destructive","Medium reef assoc. fish (30 - 89 cm)","demersal"
"201",600118,"Scomber scombrus","Atlantic mackerel",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"202",600034,"Pollachius pollachius","Pollack",840,"bottom trawls","high","destructive","Large benthopelagics (>=90 cm)","demersal"
"203",390007,"Octopoda","Octopuses",840,"bottom trawls","high","destructive","Cephalopods","demersal"
"204",400454,"Engraulidae","Anchovies",850,"mid-water trawls","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"205",100139,"Marine fishes not identified","Finfishes",1400,"gillnets","high","non-destructive","Medium demersals (30 - 89 cm)","demersal"
"206",600510,"Pleurogrammus azonus","Okhostk atka mackerel",840,"bottom trawls","high","destructive","Medium demersals (30 - 89 cm)","demersal"
"207",604239,"Hippoglossoides platessoides","American plaice",840,"bottom trawls","high","destructive","Small to medium flatfishes (<90 cm)","demersal"
"208",400264,"Scorpaenidae","Scorpionfishes or rockfishes",420,"with gorges or hooks","low","non-destructive","Large reef assoc. fish (>=90 cm)","pelagic"
"209",600109,"Rastrelliger brachysoma","Short mackerel",900,"seine nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"210",290002,"Cephalopoda","Cephalopods",840,"bottom trawls","high","destructive","Cephalopods","demersal"
"211",600226,"Xiphias gladius","Swordfish",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"212",600216,"Makaira nigricans","Atlantic blue marlin",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"213",600096,"Euthynnus affinis","Kawakawa",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"214",503152,"Pseudotolithus","Croakers",840,"bottom trawls","high","destructive","Large demersals (>=90 cm)","demersal"
"215",601619,"Anodontostoma chacunda","Chacunda gizzard shad",1400,"gillnets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"216",600147,"Thunnus thynnus","Atlantic bluefin tuna",500,"traps","high","non-destructive","Large pelagics (>=90 cm)","demersal"
"217",400056,"Muraenidae","Moray eels",221,"spears and lances","low","non-destructive","Large reef assoc. fish (>=90 cm)","demersal"
"218",500693,"Sphyrna","Hammerhead sharks",420,"with gorges or hooks","low","non-destructive","Large sharks (>=90 cm)","pelagic"
"219",300061,"Pleuronectiformes","Flatfishes",840,"bottom trawls","high","destructive","Small to medium flatfishes (<90 cm)","demersal"
"220",100036,"Scombroids","Tunas  bonitos  billfishes",1020,"purse seines","low","non-destructive",NA,"pelagic"
"221",400019,"Rajidae","Skates",840,"bottom trawls","high","destructive","Large rays (>=90 cm)","demersal"
"222",600147,"Thunnus thynnus","Atlantic bluefin tuna",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"223",600031,"Micromesistius poutassou","Blue whiting",850,"mid-water trawls","high","non-destructive","Medium benthopelagics (30 - 89 cm)","pelagic"
