,,,,,,,,,,,,,,,,,,,,,,,SANITATION,Year,,,,,NATIONAL,,,,,,,RURAL,,,,,,,URBAN,,,,,,,,,,,,,,,
Afghanistan,AFG,2008,   26 529,24,31,7,42,20,1.02,-0.86,27,4,43,25,0.74,-0.87,44,16,36,3,1.67,-0.51,Afghanistan,2008,,-,-,-,-,23,6,2,-,-,-,-,25,1,1,-,-,-,-,19,19,6,#REF!,,,,,,,,,,,
Afghanistan,AFG,2009,   27 207,24,32,7,41,19,1.02,-0.86,28,4,43,24,0.74,-0.87,46,17,34,3,1.67,-0.51,Afghanistan,2009,,-,-,-,-,24,6,2,-,-,-,-,26,1,1,-,-,-,-,20,19,6,#REF!,,,,,,,,,,,
Afghanistan,AFG,2010,   27 962,25,34,8,41,18,1.02,-0.86,29,5,43,23,0.74,-0.87,47,18,33,2,1.67,-0.51,Afghanistan,2010,,-,-,-,-,25,6,2,-,-,-,-,27,1,1,-,-,-,-,22,19,6,#REF!,,,,,,,,,,,
Afghanistan,AFG,2011,   28 809,25,35,8,40,17,1.02,-0.86,30,5,43,22,0.74,-0.87,49,18,31,2,1.67,-0.51,Afghanistan,2011,,-,-,-,-,26,6,2,-,-,-,-,28,1,1,-,-,-,-,23,19,7,#REF!,,,,,,,,,,,
Afghanistan,AFG,2012,   29 727,25,36,8,40,16,1.02,-0.86,31,5,43,21,0.74,-0.87,51,19,29,1,1.67,-0.51,Afghanistan,2012,,-,-,-,-,27,6,2,-,-,-,-,28,1,1,-,-,-,-,25,19,7,#REF!,,,,,,,,,,,
Afghanistan,AFG,2013,   30 683,26,37,9,39,15,1.02,-0.86,31,5,43,20,0.74,-0.87,53,20,27,0,1.67,-0.51,Afghanistan,2013,,-,-,-,-,28,7,2,-,-,-,-,29,1,1,-,-,-,-,27,19,7,#REF!,,,,,,,,,,,
Afghanistan,AFG,2014,   31 628,26,38,9,39,14,1.02,-0.86,32,5,43,19,0.74,-0.87,55,20,25,0,1.67,-0.51,Afghanistan,2014,,-,-,-,-,29,7,3,-,-,-,-,30,1,1,-,-,-,-,28,19,7,#REF!,,,,,,,,,,,
Afghanistan,AFG,2015,   32 527,27,39,9,38,14,1.02,-0.86,33,5,43,18,0.74,-0.87,56,21,23,0,1.67,-0.51,Afghanistan,2015,,-,-,-,-,30,7,3,-,-,-,-,31,1,1,-,-,-,-,30,19,7,#REF!,,,,,,,,,,,
Albania,ALB,2000,    3 122,42,88,2,9,1,0.62,-0.04,82,2,14,1,0.98,-0.05,97,2,1,0,0.09,-0.03,Albania,2000,,55,13,0,42,11,14,63,48,20,0,28,18,22,42,64,2,0,62,1,3,93,#REF!,,,,,,,,,,,
Albania,ALB,2001,    3 124,42,89,2,8,1,0.62,-0.04,83,2,13,1,0.98,-0.05,97,2,1,0,0.09,-0.03,Albania,2001,,55,12,0,44,9,14,66,49,19,0,30,16,22,45,64,2,0,62,1,3,93,#REF!,,,,,,,,,,,
Albania,ALB,2002,    3 123,44,90,2,7,1,0.62,-0.04,84,2,12,1,0.98,-0.05,97,2,1,0,0.09,-0.03,Albania,2002,,56,11,0,46,8,14,68,50,18,0,33,13,22,49,64,2,0,62,1,3,94,#REF!,,,,,,,,,,,
Albania,ALB,2003,    3 117,45,91,2,7,1,0.62,-0.04,85,2,11,1,0.98,-0.05,97,2,1,0,0.09,-0.03,Albania,2003,,57,10,0,47,6,14,71,51,16,0,35,11,22,53,64,2,0,63,0,3,94,#REF!,,,,,,,,,,,
Albania,ALB,2004,    3 104,46,91,2,6,1,0.62,-0.04,86,2,10,1,0.98,-0.05,97,2,1,0,0.09,-0.03,Albania,2004,,58,9,0,49,4,13,74,53,15,0,38,8,22,56,64,1,0,63,0,3,94,#REF!,,,,,,,,,,,
Albania,ALB,2005,    3 082,47,92,2,5,1,0.62,-0.04,88,2,9,1,0.98,-0.05,97,2,0,0,0.09,-0.03,Albania,2005,,59,8,0,51,3,13,76,54,14,0,40,5,22,60,65,1,0,63,0,3,95,#REF!,,,,,,,,,,,
Albania,ALB,2006,    3 051,48,93,2,4,1,0.62,-0.04,89,2,8,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2006,,60,7,0,52,2,13,79,55,12,0,42,3,22,64,65,1,0,63,0,2,95,#REF!,,,,,,,,,,,
Albania,ALB,2007,    3 011,49,94,2,4,1,0.62,-0.04,90,2,7,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2007,,60,6,0,54,0,12,81,56,11,0,45,0,22,67,65,1,0,64,0,2,95,#REF!,,,,,,,,,,,
Albania,ALB,2008,    2 968,50,94,2,3,0,0.62,-0.04,91,2,6,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2008,,61,5,0,56,-,11,83,57,10,0,47,0,20,71,65,1,0,64,0,2,96,#REF!,,,,,,,,,,,
Albania,ALB,2009,    2 930,51,95,2,3,0,0.62,-0.04,92,3,5,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2009,,62,5,0,57,-,9,86,58,9,0,50,0,17,75,65,1,0,64,0,2,96,#REF!,,,,,,,,,,,
Albania,ALB,2010,    2 902,52,96,2,2,0,0.62,-0.04,93,3,4,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2010,,62,4,0,59,0,8,88,60,7,0,52,0,15,78,65,1,0,64,0,1,97,#REF!,,,,,,,,,,,
Albania,ALB,2011,    2 886,53,96,2,1,0,0.62,-0.04,94,3,3,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2011,,63,3,0,60,0,6,90,61,6,0,55,0,12,82,65,1,0,65,0,1,97,#REF!,,,,,,,,,,,
Albania,ALB,2012,    2 881,54,97,2,1,0,0.62,-0.04,95,3,2,1,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2012,,64,2,0,61,0,5,92,62,5,0,57,0,9,86,65,0,0,65,0,1,97,#REF!,,,,,,,,,,,
Albania,ALB,2013,    2 883,55,97,2,0,0,0.62,-0.04,96,3,1,0,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2013,,64,2,0,63,0,3,94,63,3,0,60,0,7,89,65,0,0,65,0,1,98,#REF!,,,,,,,,,,,
Albania,ALB,2014,    2 890,56,98,2,0,0,0.62,-0.04,97,3,0,0,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2014,,65,1,0,64,0,2,96,64,2,0,62,0,4,93,65,0,0,65,0,0,98,#REF!,,,,,,,,,,,
Albania,ALB,2015,    2 897,57,98,2,0,0,0.62,-0.04,97,3,0,0,0.98,-0.05,98,2,0,0,0.09,-0.03,Albania,2015,,65,1,0,64,0,2,96,64,2,0,62,0,4,93,65,0,0,65,0,0,98,#REF!,,,,,,,,,,,
Algeria,DZA,2000,   31 184,60,84,8,1,6,0.25,-0.37,72,10,3,15,0.66,-0.84,91,7,0,1,-0.11,-0.04,Algeria,2000,,21,10,0,11,4,16,64,24,17,0,7,7,26,39,19,5,0,14,3,8,81,#REF!,,,,,,,,,,,
Algeria,DZA,2001,   31 590,61,84,8,2,6,0.25,-0.37,73,10,3,14,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2001,,21,10,0,11,4,15,65,24,17,0,7,7,26,40,19,5,0,14,2,8,81,#REF!,,,,,,,,,,,
Algeria,DZA,2002,   31 990,62,84,8,2,5,0.25,-0.37,74,10,3,13,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2002,,21,9,0,11,4,15,65,24,17,0,7,7,26,41,19,5,0,14,2,7,82,#REF!,,,,,,,,,,,
Algeria,DZA,2003,   32 395,62,85,8,2,5,0.25,-0.37,74,10,3,12,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2003,,21,9,0,12,4,14,66,24,16,0,7,8,25,41,19,5,0,14,2,7,82,#REF!,,,,,,,,,,,
Algeria,DZA,2004,   32 817,63,85,8,2,5,0.25,-0.37,75,10,3,11,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2004,,21,9,0,12,4,14,67,24,16,0,7,8,25,42,19,4,0,14,2,6,82,#REF!,,,,,,,,,,,
Algeria,DZA,2005,   33 268,64,85,8,2,4,0.25,-0.37,76,10,3,11,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2005,,21,9,0,12,4,13,68,24,16,0,8,8,24,43,19,4,0,14,2,6,83,#REF!,,,,,,,,,,,
Algeria,DZA,2006,   33 749,65,86,8,2,4,0.25,-0.37,76,10,4,10,0.66,-0.84,91,7,1,1,-0.11,-0.04,Algeria,2006,,20,8,0,12,4,12,69,24,16,0,8,8,24,44,18,4,0,15,2,6,83,#REF!,,,,,,,,,,,
Algeria,DZA,2007,   34 262,65,86,8,2,3,0.25,-0.37,77,10,4,9,0.66,-0.84,91,7,2,0,-0.11,-0.04,Algeria,2007,,20,8,0,12,4,12,70,24,16,0,8,8,24,45,18,4,0,15,2,5,83,#REF!,,,,,,,,,,,
Algeria,DZA,2008,   34 811,66,86,8,2,3,0.25,-0.37,78,11,4,8,0.66,-0.84,90,7,2,0,-0.11,-0.04,Algeria,2008,,20,8,0,12,4,11,70,24,16,0,8,9,23,46,18,3,0,15,2,5,84,#REF!,,,,,,,,,,,
Algeria,DZA,2009,   35 402,67,86,8,3,3,0.25,-0.37,78,11,4,7,0.66,-0.84,90,7,2,0,-0.11,-0.04,Algeria,2009,,20,8,0,12,4,11,71,24,16,0,8,9,23,47,18,3,0,15,2,5,84,#REF!,,,,,,,,,,,
Algeria,DZA,2010,   36 036,68,87,8,3,2,0.25,-0.37,79,11,4,6,0.66,-0.84,90,7,2,0,-0.11,-0.04,Algeria,2010,,20,7,0,13,4,10,72,24,16,0,8,9,22,48,18,3,0,15,2,4,84,#REF!,,,,,,,,,,,
Algeria,DZA,2011,   36 717,68,87,8,3,2,0.25,-0.37,80,11,4,6,0.66,-0.84,90,7,2,0,-0.11,-0.04,Algeria,2011,,20,7,0,13,4,10,73,24,16,0,8,9,22,48,18,3,0,15,2,4,85,#REF!,,,,,,,,,,,
Algeria,DZA,2012,   37 439,69,87,8,3,2,0.25,-0.37,80,11,4,5,0.66,-0.84,90,7,2,0,-0.11,-0.04,Algeria,2012,,20,7,0,13,4,9,74,24,15,0,9,9,22,49,17,2,0,15,1,4,85,#REF!,,,,,,,,,,,
Algeria,DZA,2013,   38 186,70,87,8,3,1,0.25,-0.37,81,11,4,4,0.66,-0.84,90,7,3,0,-0.11,-0.04,Algeria,2013,,19,6,0,13,4,9,74,24,15,0,9,10,21,50,17,2,0,15,1,3,85,#REF!,,,,,,,,,,,
Algeria,DZA,2014,   38 934,70,87,8,3,1,0.25,-0.37,82,11,4,3,0.66,-0.84,90,7,3,0,-0.11,-0.04,Algeria,2014,,19,6,0,13,4,8,75,24,15,0,9,10,21,51,17,2,0,15,1,3,86,#REF!,,,,,,,,,,,
Algeria,DZA,2015,   39 667,71,87,8,3,1,0.25,-0.37,82,11,4,2,0.66,-0.84,90,7,3,0,-0.11,-0.04,Algeria,2015,,19,6,0,13,4,8,76,24,15,0,9,10,20,52,17,2,0,15,1,2,86,#REF!,,,,,,,,,,,
American Samoa,ASM,2000,       58,89,63,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2000,,-,-,-,-,16,27,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2001,       58,88,63,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2001,,-,-,-,-,15,27,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2002,       59,88,63,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2002,,-,-,-,-,14,27,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2003,       59,88,63,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2003,,-,-,-,-,13,27,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2004,       59,88,63,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2004,,-,-,-,-,13,26,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2005,       59,88,62,37,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2005,,-,-,-,-,12,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2006,       59,88,62,37,0,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2006,,-,-,-,-,11,26,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2007,       58,88,62,36,0,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2007,,-,-,-,-,11,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2008,       57,88,62,36,0,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2008,,-,-,-,-,10,25,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2009,       56,88,62,36,0,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2009,,-,-,-,-,9,25,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2010,       56,88,62,36,1,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2010,,-,-,-,-,8,25,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2011,       55,88,62,36,1,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2011,,-,-,-,-,8,25,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2012,       55,87,62,36,1,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2012,,-,-,-,-,7,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2013,       55,87,62,36,1,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2013,,-,-,-,-,7,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2014,       55,87,62,36,1,1,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2014,,-,-,-,-,7,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
American Samoa,ASM,2015,       56,87,62,36,1,0,-0.03,0.00,-,-,-,-,-,-,-,-,-,-,-,-,American Samoa,2015,,-,-,-,-,7,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#REF!,,,,,,,,,,,
Andorra,AND,2000,       65,92,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2000,,6,0,0,6,0,-,100,6,0,0,6,0,-,100,6,0,0,6,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2001,       68,92,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2001,,15,0,0,15,0,-,100,15,0,0,15,0,-,100,15,0,0,15,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2002,       71,92,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2002,,24,0,0,24,0,-,100,24,0,0,24,0,-,100,24,0,0,24,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2003,       75,91,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2003,,33,0,0,33,0,-,100,33,0,0,33,0,-,100,33,0,0,33,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2004,       78,91,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2004,,42,0,0,42,0,-,100,42,0,0,42,0,-,100,42,0,0,42,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2005,       81,90,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2005,,51,0,0,51,0,-,100,51,0,0,51,0,-,100,51,0,0,51,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2006,       83,90,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2006,,60,0,0,60,0,-,100,60,0,0,60,0,-,100,60,0,0,60,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2007,       85,89,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2007,,68,0,0,68,0,-,100,68,0,0,68,0,-,100,68,0,0,68,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2008,       86,89,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2008,,77,0,0,77,0,-,100,77,0,0,77,0,-,100,77,0,0,77,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2009,       85,88,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2009,,86,0,0,86,0,-,100,86,0,0,86,0,-,100,86,0,0,86,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2010,       84,88,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2010,,95,0,0,95,0,-,100,95,0,0,95,0,-,100,95,0,0,95,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2011,       82,87,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2011,,100,0,0,100,0,-,100,100,0,0,100,0,-,100,100,0,0,100,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2012,       79,87,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2012,,100,0,0,100,0,-,100,100,0,0,100,0,-,100,100,0,0,100,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2013,       76,86,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2013,,100,0,0,100,0,-,100,100,0,0,100,0,-,100,100,0,0,100,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2014,       73,86,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2014,,100,0,0,100,0,-,100,100,0,0,100,0,-,100,100,0,0,100,0,-,100,#REF!,,,,,,,,,,,
Andorra,AND,2015,       70,85,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,100,0,0,0,0.00,0.00,Andorra,2015,,100,0,0,100,0,-,100,100,0,0,100,0,-,100,100,0,0,100,0,-,100,#REF!,,,,,,,,,,,
Angola,AGO,2000,   15 059,32,20,8,20,51,1.26,-1.23,8,2,24,67,0.92,-0.70,48,21,13,19,0.99,-1.07,Angola,2000,,-,-,-,-,15,0,6,-,-,-,-,6,0,1,-,-,-,-,33,0,14,#REF!,,,,,,,,,,,
Angola,AGO,2001,   15 563,33,22,8,20,50,1.26,-1.23,8,2,23,66,0.92,-0.70,49,21,12,18,0.99,-1.07,Angola,2001,,-,-,-,-,16,1,6,-,-,-,-,7,0,1,-,-,-,-,33,2,14,#REF!,,,,,,,,,,,
Angola,AGO,2002,   16 110,34,23,9,19,49,1.26,-1.23,9,2,23,65,0.92,-0.70,49,21,12,17,0.99,-1.07,Angola,2002,,-,-,-,-,16,2,6,-,-,-,-,8,0,1,-,-,-,-,31,5,14,#REF!,,,,,,,,,,,
Angola,AGO,2003,   16 691,35,24,9,19,48,1.26,-1.23,10,3,22,65,0.92,-0.70,50,22,12,16,0.99,-1.07,Angola,2003,,-,-,-,-,16,3,6,-,-,-,-,9,0,1,-,-,-,-,29,8,14,#REF!,,,,,,,,,,,
Angola,AGO,2004,   17 296,35,25,10,18,47,1.26,-1.23,11,3,22,64,0.92,-0.70,51,22,11,15,0.99,-1.07,Angola,2004,,-,-,-,-,15,5,6,-,-,-,-,9,1,1,-,-,-,-,27,11,14,#REF!,,,,,,,,,,,
Angola,AGO,2005,   17 913,36,27,10,18,45,1.26,-1.23,12,3,22,63,0.92,-0.70,52,23,11,14,0.99,-1.07,Angola,2005,,-,-,-,-,14,7,6,-,-,-,-,9,2,1,-,-,-,-,25,14,14,#REF!,,,,,,,,,,,
Angola,AGO,2006,   18 541,37,28,11,17,44,1.26,-1.23,13,3,21,63,0.92,-0.70,53,23,11,13,0.99,-1.07,Angola,2006,,-,-,-,-,13,9,6,-,-,-,-,8,4,1,-,-,-,-,23,17,14,#REF!,,,,,,,,,,,
Angola,AGO,2007,   19 184,38,29,11,17,43,1.26,-1.23,14,4,21,62,0.92,-0.70,54,24,10,12,0.99,-1.07,Angola,2007,,-,-,-,-,13,11,6,-,-,-,-,8,5,1,-,-,-,-,21,20,14,#REF!,,,,,,,,,,,
Angola,AGO,2008,   19 842,39,31,12,16,42,1.26,-1.23,15,4,20,61,0.92,-0.70,55,24,10,11,0.99,-1.07,Angola,2008,,-,-,-,-,12,13,6,-,-,-,-,7,7,1,-,-,-,-,19,23,14,#REF!,,,,,,,,,,,
Angola,AGO,2009,   20 520,39,32,12,16,40,1.26,-1.23,16,4,20,60,0.92,-0.70,56,24,10,10,0.99,-1.07,Angola,2009,,-,-,-,-,11,15,6,-,-,-,-,7,8,1,-,-,-,-,17,26,14,#REF!,,,,,,,,,,,
Angola,AGO,2010,   21 220,40,33,13,15,39,1.26,-1.23,17,4,19,60,0.92,-0.70,57,25,9,8,0.99,-1.07,Angola,2010,,-,-,-,-,10,17,6,-,-,-,-,6,9,1,-,-,-,-,15,29,14,#REF!,,,,,,,,,,,
Angola,AGO,2011,   21 942,41,34,13,15,38,1.26,-1.23,18,5,19,59,0.92,-0.70,58,25,9,7,0.99,-1.07,Angola,2011,,-,-,-,-,9,19,6,-,-,-,-,6,11,1,-,-,-,-,13,32,14,#REF!,,,,,,,,,,,
Angola,AGO,2012,   22 686,42,36,14,14,37,1.26,-1.23,19,5,18,58,0.92,-0.70,59,26,9,6,0.99,-1.07,Angola,2012,,-,-,-,-,8,21,6,-,-,-,-,6,12,1,-,-,-,-,11,35,14,#REF!,,,,,,,,,,,
Angola,AGO,2013,   23 448,42,37,14,14,35,1.26,-1.23,20,5,18,58,0.92,-0.70,60,26,8,5,0.99,-1.07,Angola,2013,,-,-,-,-,7,24,7,-,-,-,-,5,13,1,-,-,-,-,9,38,13,#REF!,,,,,,,,,,,
Angola,AGO,2014,   24 228,43,38,15,13,34,1.26,-1.23,20,5,17,57,0.92,-0.70,61,27,8,4,0.99,-1.07,Angola,2014,,-,-,-,-,6,26,7,-,-,-,-,5,15,1,-,-,-,-,7,41,13,#REF!,,,,,,,,,,,
Angola,AGO,2015,   25 022,44,39,15,13,33,1.26,-1.23,21,5,17,56,0.92,-0.70,62,27,7,3,0.99,-1.07,Angola,2015,,-,-,-,-,5,28,7,-,-,-,-,4,16,1,-,-,-,-,5,44,13,#REF!,,,,,,,,,,,
Anguilla,AIA,2000,       11,100,90,2,6,2,0.48,-0.14,-,-,-,-,-,-,90,2,6,2,0.48,-0.14,Anguilla,2000,,-,-,-,-,0,89,1,-,-,-,-,-,-,-,-,-,-,-,0,89,1,#REF!,,,,,,,,,,,
Anguilla,AIA,2001,       11,100,90,2,5,2,0.48,-0.14,-,-,-,-,-,-,90,2,5,2,0.48,-0.14,Anguilla,2001,,-,-,-,-,0,89,1,-,-,-,-,-,-,-,-,-,-,-,0,89,1,#REF!,,,,,,,,,,,
