"Taxonkey","TaxonName","CommonName"
601584,"Alosa sapidissima","American shad"
590010,"Loligo","Common squids"
100047,"Miscellaneous marine crustaceans","Marine crustaceans"
600147,"Thunnus thynnus","Atlantic bluefin tuna"
600898,"Prionace glauca","Blue shark"
502682,"Dicentrarchus","European/spotted seabass"
612917,"Prolatilus jugularis","Tilefish"
500112,"Lophius","Monkfishes"
601423,"Lutjanus campechanus","Northern red snapper"
604239,"Hippoglossoides platessoides","American plaice"
600301,"Conger conger","European conger"
600716,"Lophius piscatorius","Angler"
400442,"Cynoglossidae","Tonguefishes"
600247,"Salvelinus alpinus alpinus","Charr"
600260,"Harpadon nehereus","Bombay duck"
500142,"Scomber","Mackerels"
500809,"Dentex","Seabreams (Dentex spp)"
400416,"Scombridae","Mackerels tunas bonitos"
505897,"Anarhichas","Wolffish"
500679,"Spicara","Picarels"
490097,"Brachyura","Marine crabs"
690087,"Cardium edule","Common edible cockle"
690109,"Parapenaeus longirostris","Deepwater rose shrimp"
600096,"Euthynnus affinis","Kawakawa"
690127,"Concholepas concholepas","False abalone"
600253,"Osmerus mordax mordax","Atlantic rainbow smelt"
100038,"Sharks rays chimaeras","Sharks rays skates etc"
590065,"Chionoecetes","Pacific snow crabs"
600218,"Makaira mazara","Indo-Pacific blue marlin"
300044,"Gadiformes","Cods"
600412,"Elagatis bipinnulata","Rainbow runner"
290002,"Cephalopoda","Cephalopods"
690271,"Illex illecebrosus","Northern shortfin squid"
500654,"Merluccius","Hakes"
500372,"Sphyraena","Barracudas"
600315,"Eleginus gracilis","Saffron cod"
602691,"Salvelinus malma malma","Dolly varden"
600121,"Scomberomorus commerson","Narrow-barred Spanish mackerel"
601348,"Psetta maxima","Turbot"
690009,"Crassostrea virginica","American cupped oyster"
602501,"Anarhichas lupus","Wolf-fish"
690081,"Aulacomya ater","Cholga mussel"
500467,"Caranx","Jacks"
690176,"Mactra sachalinensis","Hen clam"
602674,"Coregonus nasus","Broad whitefish"
601663,"Engraulis japonicus","Japanese anchovy"
600380,"Trachinotus carolinus","Florida pompano"
604642,"Galeorhinus galeus","Tope shark"
601382,"Microstomus kitt","Lemon sole"
601381,"Melanogrammus aeglefinus","Haddock"
601511,"Sardinella longiceps","Indian oil sardine"
600785,"Mugil cephalus","Flathead mullet"
690321,"Jasus edwardsii","Red rock lobster"
500705,"Diplodus","Seabreams and porgies"
600244,"Oncorhynchus tshawytscha","Chinook salmon"
690201,"Apostichopus japonicus","Japanese sea cucumber"
400318,"Leiognathidae","Slimys slipmouths or ponyfishes"
600125,"Scomberomorus lineolatus","Streaked seerfish"
400356,"Latridae","Trumpeters"
290006,"Gastropoda","Gastropods"
604796,"Sarda chiliensis lineolata","Pacific bonito"
600245,"Oncorhynchus kisutch","Coho salmon"
600111,"Rastrelliger kanagurta","Indian mackerel"
628143,"Peprilus paru","American harvestfish"
600448,"Pterogymnus laniarius","Panga seabream"
602692,"Stenodus leucichthys","Inconnu"
600889,"Pagellus acarne","Axillary seabream"
690053,"Mytilus edulis","Blue mussel"
690434,"Buccinum undatum","Whelk"
690125,"Homarus gammarus","European lobster"
690092,"Palinurus elephas","Common spiny lobster"
400327,"Haemulidae","Grunts"
690047,"Menippe mercenaria","Black stone crab"
400581,"Peristediidae","Armored searobins or armored gurnards"
600510,"Pleurogrammus azonus","Okhostk atka mackerel"
600504,"Sebastes alutus","Pacific ocean perch"
600489,"Thyrsites atun","Snoek"
290012,"Holothuroidea","Sea cucumbers"
100176,"Starfish and other echinoderms","Starfishes"
400009,"Lamnidae","Mackerel sharks white sharks"
600123,"Scomberomorus guttatus","Indo-Pacific king mackerel"
600223,"Tetrapturus audax","Striped marlin"
600238,"Salmo trutta trutta","Sea trout"
600089,"Acanthocybium solandri","Wahoo"
400084,"Bathylagidae","Deep-sea smelts"
400240,"Berycidae","Alfonsinos"
600388,"Selaroides leptolepis","Yellowstripe scad"
690273,"Nephrops norvegicus","Norway lobster"
400323,"Lutjanidae","Snappers"
600097,"Euthynnus alletteratus","Little tunny"
500143,"Mullus","Western goatfishes"
600077,"Istiophorus platypterus","Indo-Pacific sailfish"
600695,"Limanda limanda","Dab"
600518,"Atheresthes evermanni","Kamchatka flounder"
600318,"Theragra chalcogramma","Alaska pollack"
600324,"Merluccius gayi gayi","South Pacific hake"
600071,"Caranx hippos","Crevalle jack"
601366,"Chelidonichthys lucerna","Tub gurnard"
600439,"Dentex dentex","Common dentex"
601583,"Alosa pseudoharengus","Alewife"
600507,"Chelidonichthys kumu","Bluefin gurnard"
601939,"Decapterus maruadsi","Japanese scad"
600366,"Trachurus japonicus","Japanese jack mackerel"
690241,"Mytilus galloprovincialis","Mediterranean mussel"
505469,"Rastrelliger","Indo-Pacific mackerels"
690089,"Littorina littorea","Common periwinkle"
600428,"Larimichthys crocea","Large yellow croaker"
690269,"Pandalus borealis","Northern prawn"
690123,"Ostrea edulis","European flat oyster"
690398,"Mactromeris polynyma","Stimpsons surf clam"
690033,"Spisula solidissima","Atlantic surf clam"
646941,"Coregonus laurettae","Bering cisco"
601340,"Phycis blennoides","Greater forkbeard"
502004,"Seriolella","Barrelfishes"
501523,"Nemadactylus","Porae"
300003,"Chimaeriformes","Chimaeras"
600227,"Megalops cyprinoides","Indo-Pacific tarpon"
604589,"Lateolabrax japonicus","Japanese seaperch"
690055,"Portunus pelagicus","Blue swimming crab"
690005,"Acetes japonicus","Akiami paste shrimp"
600514,"Hippoglossus stenolepis","Pacific halibut"
600339,"Menidia menidia","Atlantic silverside"
400361,"Polynemidae","Threadfins"
690228,"Panulirus longipes","Longlegged spiny lobster"
690085,"Sepia officinalis","Common cuttlefish"
500357,"Lutjanus","Snappers"
400328,"Lethrinidae","Emperors or scavengers"
690078,"Loxechinus albus","Chilean sea urchin"
600416,"Larimichthys polyactis","Yellow croaker"
600458,"Tautoga onitis","Tautog"
600487,"Ammodytes personatus","Pacific sandeel"
400362,"Labridae","Wrasses"
400515,"Scophthalmidae","Turbots"
600529,"Scophthalmus rhombus","Brill"
590096,"Penaeus","Penaeus shrimps"
490044,"Crangonidae","Crongonid shrimp"
500856,"Chirocentrus","Wolf herring"
600088,"Lamna nasus","Porbeagle"
600418,"Argyrosomus regius","Meagre"
600382,"Seriola lalandi","Yellowtail amberjack"
690076,"Mytilus chilensis","Chilean mussel"
501905,"Thunnus","Tuna"
503152,"Pseudotolithus","Croakers"
400264,"Scorpaenidae","Scorpionfishes or rockfishes"
600203,"Boops boops","Bogue"
400308,"Malacanthidae","Tilefishes"
606444,"Cephalopholis boenak","Chocolate hind"
601589,"Brevoortia patronus","Gulf menhaden"
400425,"Stromateidae","Butterfishes"
600374,"Decapterus russelli","Indian scad"
690445,"Pecten yessoensis","Yesso scallop"
500495,"Prionotus","Sea robins"
600429,"Leiostomus xanthurus","Spot croaker"
500693,"Sphyrna","Hammerhead sharks"
400307,"Sillaginidae","Smelt-whitings"
600391,"Brama brama","Atlantic pomfret"
601659,"Engraulis anchoita","Argentine anchoita"
600313,"Urophycis tenuis","White hake"
600411,"Menticirrhus littoralis","Gulf kingcroaker"
690088,"Octopus vulgaris","Common octopus"
690146,"Haliotis gigantea","Giant abalone"
100035,"Clupeoids","Herrings sardines anchovies"
590014,"Crassostrea","Cupped oysters"
600463,"Arctoscopus japonicus","Sailfin sandfish"
601407,"Lutjanus argentimaculatus","Mangrove red snapper"
690119,"Cancer pagurus","Edible crab"
690190,"Scylla serrata","Indo-Pacific swamp crab"
600106,"Gymnosarda unicolor","Dogtooth tuna"
600526,"Dicologlossa cuneata","Wedge sole"
600148,"Thunnus tonggol","Longtail tuna"
608490,"Rexea solandri","Silver gemfish"
502794,"Cynoscion","Weakfishes"
600464,"Parapercis colias","Blue cod"
690091,"Crangon crangon","Common shrimp"
590049,"Littorina","Periwinkles"
600438,"Dentex macrophthalmus","Large-eye dentex"
590082,"Palinurus","Spiny lobsters"
600298,"Muraenesox cinereus","Daggertooth pike conger"
600441,"Archosargus probatocephalus","Sheepshead seabream"
600497,"Psenopsis anomala","Melon seed"
600532,"Lophius americanus","American angler"
601593,"Ethmidium maculatum","Pacific menhaden"
490055,"Pectinidae","Scallops"
500366,"Epinephelus","Groupers"
601334,"Osmerus eperlanus","European smelt"
600378,"Selene setapinnis","Atlantic moonfish"
600491,"Pampus argenteus","Silver pomfret"
601079,"Megalops atlanticus","Tarpon"
600256,"Thaleichthys pacificus","Eulachon"
690683,"Aristaeomorpha foliacea","Giant red shrimp"
604722,"Callorhinchus milii","Ghost shark"
600368,"Trachurus symmetricus","Pacific jack mackerel"
601278,"Trachurus mediterraneus","Mediterranean horse mackerel"
690030,"Argopecten irradians","Atlantic bay scallop"
590091,"Metapenaeus","Metapenaeus shrimps"
600188,"Ocyurus chrysurus","Yellowtail snapper"
601043,"Sardinella aurita","Round sardinella"
690050,"Anadara granosa","Blood cockle"
690022,"Pleoticus muelleri","Argentine red shrimp"
601181,"Sphoeroides maculatus","Northern puffer"
600410,"Menticirrhus saxatilis","Northern kingcroaker"
612922,"Seriolella punctata","Silver warehou"
600516,"Reinhardtius hippoglossoides","Greenland halibut"
600452,"Stenotomus chrysops","Scup"
690156,"Pecten maximus","Great Atlantic scallop"
608421,"Bregmaceros mcclellandi","Spotted codlet"
501055,"Gerres","Silver biddies"
590110,"Busycon","Whelks"
605933,"Mustelus lenticulatus","Spotted estuary smooth-hound"
690219,"Marsupenaeus japonicus","Kuruma prawn"
601356,"Spondyliosoma cantharus","Black seabream"
607620,"Micropogonias furnieri","Whitemouth croaker"
503028,"Mycteroperca","Cat groupers"
600401,"Conodon nobilis","Barred grunt"
600028,"Lepidorhombus whiffiagonis","Megrim"
600893,"Pagellus erythrinus","Common pandora"
600408,"Micropogonias undulatus","Atlantic croaker"
400011,"Carcharhinidae","Requiem sharks"
690275,"Arctica islandica","Ocean quahog"
603542,"Rachycentron canadum","Cobia"
690011,"Placopecten magellanicus","American sea scallop"
500487,"Scomberomorus","Seerfishes"
600527,"Austroglossus microlepis","West coast sole"
600113,"Sarda chiliensis chiliensis","Eastern Pacific bonito"
600171,"Lutjanus purpureus","Southern red snapper"
600513,"Psettodes erumei","Indian spiny turbot"
690075,"Ostrea chilensis","Chilean flat oyster"
600017,"Epinephelus morio","Red grouper"
600136,"Scomberomorus sierra","Pacific sierra"
600345,"Centropomus undecimalis","Common snook"
600466,"Eleginops maclovinus","Patagonian blennie"
590125,"Arca","Ark clams"
400190,"Lophiidae","Goosefishes"
600316,"Microgadus tomcod","Atlantic tomcod"
600325,"Merluccius hubbsi","Argentine hake"
509125,"Sphoeroides","Puffers"
600940,"Dasyatis akajei","Red stingray"
690621,"Paralithodes camtschaticus","Red king crab"
690069,"Jasus lalandii","Cape rock lobster"
500504,"Centropomus","Snooks"
690010,"Homarus americanus","American lobster"
590046,"Haliotis","Abalones"
690268,"Farfantepenaeus duorarum","Northern pink shrimp"
690070,"Melicertus kerathurus","Caramote prawn"
590083,"Panulirus","Tropical spiny lobsters"
600363,"Lactarius lactarius","False trevally"
600425,"Pogonias cromis","Black drum"
600353,"Morone saxatilis","Striped sea-bass"
400402,"Ammodytidae","Sand lances"
600204,"Sarpa salpa","Salema"
600120,"Scomberomorus cavalla","King mackerel"
503124,"Lepidorhombus","Megrims"
690029,"Ensis directus","Atlantic razor clam"
601619,"Anodontostoma chacunda","Chacunda gizzard shad"
600390,"Mene maculata","Moonfish"
602020,"Pseudophycis bachus","Red codling"
600004,"Engraulis ringens","Anchoveta"
500551,"Plotosus","Eel catfishes"
600387,"Selar crumenophthalmus","Bigeye scad"
500912,"Priacanthus","Bigeyes"
590088,"Crangon","Sand shrimps"
601825,"Macruronus novaezelandiae","Blue grenadier"
100044,"King crabs squat-lobsters","Craylets squat lobsters"
601600,"Tenualosa toli","Toli shad"
690387,"Maja squinado","Spinous spider crab"
690115,"Cancer magister","Dungeness crab"
610106,"Nemadactylus macropterus","Tarakihi"
601470,"Clupeonella cultriventris","Black Sea sprat"
600105,"Alosa immaculata","Pontic shad"
690392,"Squilla mantis","Spottail mantis squillid"
600406,"Cynoscion regalis","Gray weakfish"
600512,"Anoplopoma fimbria","Sablefish"
690283,"Crassostrea gigas","Pacific cupped oyster"
690182,"Limulus polyphemus","Horseshoe crab"
500618,"Solea","Soles"
690071,"Panulirus argus","Caribbean spiny lobster"
500903,"Pagrus","Seabreams (Pagrus spp)"
600361,"Centropristis striata","Black seabass"
690332,"Mytilus platensis","River Plata mussel"
690042,"Fenneropenaeus merguiensis","Banana prawn"
690686,"Zygochlamys patagonica","Patagonean scallop"
600399,"Pomadasys argenteus","Silver grunt"
601594,"Ethmalosa fimbriata","Bonga shad"
690218,"Mytilus coruscus","Korean mussel"
690242,"Carcinus aestuarii","Mediterranean shore crab"
601002,"Pseudocaranx dentex","White trevally"
600405,"Cynoscion nebulosus","Spotted weakfish"
500515,"Leiognathus","Slipmouths"
690151,"Penaeus monodon","Giant tiger prawn"
690270,"Mercenaria mercenaria","Northern quahog"
690265,"Farfantepenaeus aztecus","Northern brown shrimp"
600323,"Merluccius bilinearis","Silver hake"
400419,"Istiophoridae","Billfishes"
601164,"Sparus aurata","Gilthead seabream"
690052,"Callinectes sapidus","Blue crab"
600521,"Limanda ferruginea","Yellowtail flounder"
600790,"Mullus barbatus barbatus","Red mullet"
600346,"Lates calcarifer","Barramundi"
603578,"Atractoscion nobilis","White weakfish"
600119,"Scomberomorus brasiliensis","Serra Spanish mackerel"
600485,"Genypterus capensis","Kingklip"
601530,"Strangomera bentincki","Araucanian herring"
601664,"Engraulis mordax","Californian anchovy"
600108,"Orcynopsis unicolor","Plain bonito"
690060,"Perna viridis","Brown mussel"
400448,"Tetraodontidae","Puffers"
690100,"Farfantepenaeus brevirostris","Crystal shrimp"
690627,"Cilus gilberti","Corvina"
400289,"Serranidae","Sea basses groupers fairy basslets"
600300,"Conger oceanicus","American conger"
690377,"Lithodes antarcticus","Southern king crab"
603672,"Tautogolabrus adspersus","Cunner"
500352,"Alosa","Shads"
690341,"Panulirus homarus","Scalloped spiny lobster"
601828,"Merluccius capensis","Shallow-water Cape hake"
690286,"Siliqua patula","Pacific razor clam"
600385,"Chloroscombrus chrysurus","Atlantic bumper"
400015,"Squatinidae","Angel sharks"
690039,"Panulirus cygnus","Australian spiny lobster"
690230,"Mesodesma donacium","Macha clam"
690024,"Artemesia longinaris","Argentine stiletto shrimp"
601486,"Opisthonema oglinum","Atlantic thread herring"
400160,"Synodontidae","Lizardfishes"
600422,"Genyonemus lineatus","White croaker"
600076,"Helicolenus dactylopterus dactylopterus","Blackbelly rosefish"
600350,"Polyprion oxygeneios","Hapuka"
600443,"Argyrozona argyrozona","Carpenter seabream"
601265,"Naso unicornis","Bluespine unicornfish"
600517,"Atheresthes stomias","Arrowtooth flounder"
600397,"Isacia conceptionis","Cabinza grunt"
601596,"Tenualosa ilisha","Hilsa shad"
590051,"Strombus","Stromboid conchs"
601191,"Sciaenops ocellatus","Red drum"
690023,"Illex argentinus","Argentine shortfin squid"
600436,"Pagellus bellottii","Red pandora"
400517,"Monacanthidae","Filefishes"
400332,"Mullidae","Goatfishes"
600482,"Genypterus blacodes","Pink cusk-eel"
601756,"Pagrus pagrus","Common seabream"
600005,"Orthopristis chrysoptera","Pigfish"
600134,"Scomberomorus regalis","Cero"
600413,"Umbrina canosai","Argentine croaker"
690196,"Ruditapes philippinarum","Japanese carpet shell"
600493,"Peprilus simillimus","Pacific pompano"
690169,"Scapharca cornea","Half-crenated ark"
601370,"Zeus faber","John dory"
600483,"Genypterus chilensis","Red cusk-eel"
600352,"Paralabrax humeralis","Peruvian rock seabass"
601587,"Brevoortia aurea","Brazilian menhaden"
600175,"Elops saurus","Ladyfish"
600509,"Ophiodon elongatus","Lingcod"
690199,"Meretrix lusoria","Japanese hard clam"
600371,"Trachurus trecae","Cunene horse mackerel"
400445,"Balistidae","Triggerfishes"
690031,"Cancer irroratus","Atlantic rock crab"
601338,"Paralichthys dentatus","Summer flounder"
600362,"Lopholatilus chamaeleonticeps","Great northern tilefish"
600524,"Pseudopleuronectes americanus","Winter flounder"
600351,"Acanthistius brasilianus","Sea bass"
600488,"Hypoptychus dybowskii","Korean sandeel"
608556,"Pseudopleuronectes herzensteini","Littlemouth flounder"
690064,"Saxidomus gigantea","Butter clam"
600015,"Epinephelus guttatus","Red hind"
600312,"Urophycis chuss","Red hake"
502417,"Genypterus","Cusk eels"
690444,"Farfantepenaeus californiensis","Yellowleg shrimp"
600299,"Conger orbignianus","Argentine conger"
690256,"Ostrea lutaria","New Zealand dredge oyster"
690411,"Protothaca thaca","Taca clam"
690180,"Turbo cornutus","Horned turban"
501096,"Molva","Lings"
600407,"Cynoscion striatus","South American striped weakfish"
600434,"Pennahia argentata","White croaker"
690090,"Palaemon serratus","Common prawn"
601090,"Mugil liza","Liza"
600400,"Brachydeuterus auritus","Bigeye grunt"
606358,"Chirocentrus dorab","Dorab wolf-herring"
490043,"Penaeidae","Penaeid shrimps"
690378,"Farfantepenaeus notialis","Southern pink shrimp"
600465,"Percophis brasiliensis","Brazilian flathead"
690302,"Haliotis midae","Perlemoen abalone"
604708,"Pomadasys jubelini","Sompat grunt"
600427,"Nibea mitsukurii","Nibe croaker"
600941,"Atrobucca nibe","Longfin kob"
600480,"Zoarces americanus","Ocean pout"
603310,"Stereolepis gigas","Giant sea-bass"
600341,"Galeoides decadactylus","Lesser African threadfin"
601047,"Sardinella maderensis","Madeiran sardinella"
690163,"Penaeus semisulcatus","Green tiger prawn"
501826,"Muraenesox","Conger eels"
600424,"Paralonchurus peruanus","Peruvian banded croaker"
100043,"Homaridae/Palinuridae","Lobsters spiny-rock lobsters"
690287,"Cancer productus","Pacific rock crab"
600140,"Rhinobatos percellens","Chola guitarfish"
606470,"Epinephelus marginatus","Dusky grouper"
590134,"Meretrix","Hard clams"
200004,"Elasmobranchii","Sharks and rays"
690374,"Perna perna","South American rock mussel"
600231,"Coregonus albula","Vendace"
600232,"Coregonus lavaretus","Common whitefish"
690296,"Loligo gahi","Patagonian squid"
690303,"Argopecten purpuratus","Peruvian calico scallop"
601454,"Dussumieria elopsoides","Slender rainbow sardine"
690077,"Heterocarpus reedi","Chilean nylon shrimp"
606317,"Totoaba macdonaldi","Totoaba"
690167,"Microcosmus sulcatus","Grooved sea squirt"
500598,"Trachinotus","Pompanos"
601458,"Spratelloides gracilis","Silverstriped round herring"
400326,"Gerreidae","Mojarras"
500107,"Squalus","Dogfishes"
600648,"Centrophorus granulosus","Gulper shark"
690051,"Aristeus antennatus","Blue and red shrimp"
601608,"Clupanodon thrissa","Chinese gizzard shad"
490060,"Veneridae","Venus clams"
600645,"Lepidopus caudatus","Silver scabbardfish"
490054,"Mytilidae","Sea mussels"
600078,"Istiophorus albicans","Atlantic sailfish"
600305,"Hyporhamphus sajori","Japanese halfbeak"
690232,"Crassostrea rhizophorae","Mangrove cupped oyster"
600219,"Tetrapturus albidus","Atlantic white marlin"
600548,"Cetengraulis mysticetus","Pacific anchoveta"
500147,"Argentina","Argentines"
100338,"Sharks rays chimaeras","Cartilaginous fishes"
590053,"Turbo","Turbo snails"
600068,"Eutrigla gurnardus","Grey gurnard"
500240,"Siganus","Rabbitfishes"
600433,"Pseudotolithus elongatus","Bobo croaker"
601661,"Engraulis capensis","Cape anchovy"
690205,"Jasus frontalis","Juan Fernandez rock lobster"
600063,"Dicentrarchus labrax","European seabass"
601383,"Molva dypterygia","Blue ling"
601306,"Umbrina cirrosa","Shi drum"
600426,"Epinephelus aeneus","White grouper"
600453,"Pseudupeneus prayensis","West African goatfish"
690067,"Loligo vulgaris","Cape Hope squid"
601707,"Sciaena umbra","Brown meagre"
600138,"Somniosus microcephalus","Greenland shark"
600090,"Cetorhinus maximus","Basking shark"
600692,"Lichia amia","Leerfish"
600356,"Priacanthus macracanthus","Red bigeye"
601044,"Ruvettus pretiosus","Oilfish"
400207,"Belonidae","Needlefishes"
601408,"Lutjanus argentiventris","Yellow snapper"
600369,"Trachurus lathami","Rough scad"
690696,"Jasus novaehollandiae","Southern rock lobster"
601363,"Trachinus draco","Greater weever"
600396,"Nemipterus virgatus","Golden threadfin bream"
600340,"Eleutheronema tetradactylum","Fourfinger threadfin"
600505,"Sebastes mentella","Deepwater redfish"
600181,"Lutjanus synagris","Lane snapper"
601023,"Trisopterus esmarkii","Norway pout"
690065,"Argopecten gibbus","Calico scallop"
590094,"Parapenaeopsis","Shrimps"
690322,"Pyura chilensis","Red sea squirt"
501941,"Harengula","Herring"
601343,"Pollachius virens","Saithe"
506253,"Coregonus","Whitefishes"
290004,"Bivalvia","Clams"
500136,"Salmo","Salmon and trout"
600332,"Coryphaenoides rupestris","Roundnose grenadier"
600349,"Polyprion americanus","Wreckfish"
690327,"Farfantepenaeus brasiliensis","Redspotted shrimp"
605937,"Mustelus schmitti","Narrownose smooth-hound"
604037,"Pleurogrammus monopterygius","Atka mackerel"
690032,"Xiphopenaeus kroyeri","Atlantic seabob"
501164,"Peprilus","Harvestfishes"
601059,"Hemiramphus brasiliensis","Ballyhoo"
600326,"Merluccius productus","North Pacific hake"
590093,"Pandalus","Pandalus shrimps"
501486,"Lycodes","Eelpouts"
600481,"Trisopterus minutus","Poor cod"
690105,"Callinectes danae","Dana's swimming crab"
500928,"Seriola","Amberjacks"
650136,"Pseudopercis semifasciata","Argentinian sandperch"
600492,"Peprilus triacanthus","American butterfish"
600545,"Anchoa mitchilli","Bay anchovy"
400266,"Triglidae","Searobins"
690313,"Chionoecetes opilio","Queen crab"
690124,"Todarodes sagittatus","European flying squid"
690036,"Mytilus planulatus","Australian mussel"
290010,"Asteroidea","Sea stars"
690158,"Carcinus maenas","Green crab"
501327,"Micropogonias","Western croakers"
400016,"Pristidae","Sawfishes"
600440,"Dentex angolensis","Angola dentex"
600706,"Lithognathus mormyrus","Striped seabream"
100025,"Miscellaneous diadromous fishes","Diadromous fishes"
690619,"Panulirus gracilis","Blue spiny lobster"
600062,"Cyclopterus lumpus","Lumpsucker"
