FAO_name,exclude,exclude_no_seaweed,exclude_no_nei,alias,notes,notes_2,Taxon_code
Blood cockle,0,0,0,NA,,,BI
Blue crab,0,0,0,NA,,,CRUST
Blue mussel,0,0,0,NA,,,BI
Blue shrimp,0,0,0,NA,,,SH
Blue swimming crab,0,0,0,NA,,,CRUST
Blue tilapia,1,1,1,NA,freshwater,,F
Bluefish,0,0,0,NA,,,F
Bluegill,1,1,1,NA,freshwater,,F
Bluespot mullet,0,0,0,NA,,,F
Bright green nori,0,1,0,NA,seaweed mixed: animal feed/fertilizer/food,food use determined using Seaweed and Man (Green nori indicated as an important algae for food): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22,AL
Brill,0,0,0,NA,,,F
Brine shrimp,0,0,0,NA,,,SH
Brown meagre,0,0,0,NA,,,F
Brown seaweeds,0,1,1,NA,seaweed,food use determined using FAO: http://www.fao.org/3/a-y4765e.pdf,AL
Brown tiger prawn,0,0,0,NA,,,SH
Brown-marbled grouper,0,0,0,Groupers nei,,,F
Butter clam,0,0,0,NA,,,BI
Callinectes swimcrabs nei,0,0,0,NA,,,CRUST
Caramote prawn,0,0,0,NA,,,SH
Carpet shells nei,0,0,0,NA,,,BI
Caulerpa seaweeds,0,1,0,NA,seaweed,food use determined using FAO manual: http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm,AL
Chars nei,0,0,0,NA,,,F
Chilean flat oyster,0,0,0,Flat oysters nei,,,BI
Chilean mussel,0,0,0,NA,,,BI
Chinook(=Spring=King) salmon,0,0,0,NA,,,F
Cholga mussel,0,0,0,NA,,,BI
Choro mussel,0,0,0,NA,,,BI
Chum(=Keta=Dog) salmon,0,0,0,NA,,,F
"Clams, etc. nei",0,0,0,NA,,,BI
Cobia,0,0,0,NA,,,F
Cockles nei,0,0,0,NA,,,BI
Coho(=Silver) salmon,0,0,0,NA,,,F
Common carp,1,1,1,NA,freshwater,,F
Common cuttlefish,0,0,0,NA,,,CEPH
Common dentex,0,0,0,NA,,,F
Common edible cockle,0,0,0,NA,,,BI
Common pandora,0,0,0,NA,,,F
Common prawn,0,0,0,NA,,,SH
Common snook,0,0,0,NA,,,F
Common sole,0,0,0,NA,,,F
Common two-banded seabream,0,0,0,NA,,,F
Constricted tagelus,1,1,1,NA,freshwater,,BI
Cortez oyster,0,0,0,NA,,,BI
Crevalle jack,0,0,0,NA,,,F
Crimson seabream,0,0,0,NA,,,F
"Croakers, drums nei",0,0,0,NA,,,F
Crocus giant clam,0,0,0,NA,,,BI
Cupped oysters nei,0,0,0,NA,,,BI
Cyprinids nei,1,1,1,NA,freshwater,,F
Daggertooth pike conger,0,0,0,NA,,,F
Diphos sanguin,0,0,0,"Clams, etc. nei",,,BI
Donax clams,0,0,0,"Clams, etc. nei",,,BI
Dotted gizzard shad,0,0,0,NA,,,F
Drums nei,0,0,0,NA,,,F
Dulse,0,1,0,NA,seaweed: food,food use determined using source:https://www.sciencedirect.com/science/article/pii/B9780124186972000131 and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Eastern king prawn,0,0,0,NA,,,SH
Eastern school shrimp,0,0,0,NA,,,SH
Elkhorn sea moss,1,1,1,NA,seaweed: mixed use/carageenan,"non-food use, primary carageenan use determined using Buschmann et al (also Kappaphycus alvarezii): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175",AL
Elongate giant clam,0,0,0,NA,,,BI
Eucheuma seaweeds nei,1,1,1,NA,"seaweed: mixed use, carageenan","non-food use, primary carageenan use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm",AL
European eel,0,0,0,NA,,,F
European flat oyster,0,0,0,NA,,,BI
European flounder,0,0,0,NA,,,F
European seabass,0,0,0,NA,,,F
European whitefish,0,0,0,NA,,,F
False abalone,0,0,0,NA,,,BI
Filefishes nei,0,0,0,NA,,,F
"Filefishes, leatherjackets nei",0,0,0,NA,,,F
Finfishes nei,0,0,0,NA,,,F
Flat and cupped oysters nei,0,0,0,NA,,,BI
Flat oysters nei,0,0,0,NA,,,BI
Flatfishes nei,0,0,0,NA,,,F
Flathead grey mullet,0,0,0,NA,,,F
Flathead lobster,0,0,0,NA,,,CRUST
Fleshy prawn,0,0,0,NA,,,SH
Florida pompano,0,0,0,NA,,,F
Fluted giant clam,0,0,0,NA,,,BI
Fourfinger threadfin,0,0,0,NA,,,F
Fragile codium,1,1,1,NA,seaweed: mixed use,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Freshwater fishes nei,1,1,1,NA,freshwater,,F
Freshwater siluroids nei,1,1,1,NA,freshwater,,F
Fusiform sargassum,0,1,0,NA,seaweed: mixed use,food use determined by Bushmann et al (fusiform sargassum also Hijiki or Sargassum fusiforme): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; alternative names: http://www.uniprot.org/taxonomy/590727,AL
Gasar cupped oyster,0,0,0,NA,,,BI
Gastropods nei,0,0,0,NA,,,BI
Gazami crab,0,0,0,NA,,,CRUST
Gelidium seaweeds,1,1,1,NA,seaweed: agar,"non-food use determined by FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): http://www.fao.org/3/a-y4765e.pdf; Frangoudes 2016 (Edible seaweed in Korea): https://www.sciencedirect.com/science/article/pii/B9780128027721000026",AL
Giant clam,0,0,0,NA,,,BI
Giant clams nei,0,0,0,"Clams, etc. nei",,,BI
Giant grouper,0,0,0,Groupers nei,,,F
Giant kelp,1,1,1,NA,"seaweed, alginate",non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): http://www.fao.org/3/a-y4765e.pdf,AL
Giant river prawn,1,1,1,NA,freshwater,,SH
Giant tiger prawn,0,0,0,NA,,,SH
Gilthead seabream,0,0,0,NA,,,F
Globose clam,0,0,0,NA,,,BI
Gobies nei,0,0,0,NA,,,F
Golden carpet shell,0,0,0,NA,,,BI
Golden trevally,0,0,0,NA,,,F
Goldlined seabream,0,0,0,NA,,,F
Goldsilk seabream,0,0,0,NA,,,F
Gracilaria seaweeds,1,1,1,NA,seaweed mixed: agar/food,"non-food use, primary agar use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm",AL
Grand ark,0,0,0,"Clams, etc. nei",,,BI
Grass carp(=White amur),1,1,1,NA,freshwater,,F
Greasy grouper,0,0,0,Groupers nei,,,F
Greasyback shrimp,0,0,0,NA,,,SH
Great Atlantic scallop,0,0,0,NA,,,BI
Great blue spotted mudskipper,1,1,1,NA,was excluded,Chinese medicine,F
Greater amberjack,0,0,0,NA,,,F
Green crab,0,0,0,NA,,,CRUST
Green humphead parrotfish,0,0,0,NA,,,F
Green laver,0,1,1,NA,seaweed; food,food use determined using Seaweed and Man (green laver is same as green nori but different country names): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Green mussel,0,0,0,NA,,,BI
Green tiger prawn,0,0,0,NA,,,SH
Green turtle,1,1,1,NA,was excluded,,OTHER
Grooved carpet shell,0,0,0,NA,,,BI
Groundfishes nei,0,0,0,NA,,,F
Groupers nei,0,0,0,NA,,,F
"Groupers, seabasses nei",0,0,0,NA,,,F
"Gudgeons, sleepers nei",0,0,0,NA,,,F
Haddock,0,0,0,NA,,,F
Harpoon seaweeds,1,1,1,NA,seaweed: cosmetic/antiparasitic/agar,"non-food use deteremined by Netalgae.eu (75% of seaweed produced in France is processed): http://www.netalgae.eu/uploadedfiles/11-09-12_poster_wp1_en.pdf; harpoon seaweed's scientific name is Asparagopsis armata, which is likely used in cosmetics: https://link.springer.com/content/pdf/10.1007%2Fs10811-005-2799-5.pdf and https://www.roscara.com/wild-irish-seaweed-asparagopsis-armata/",AL
Hong Kong grouper,0,0,0,Groupers nei,,,F
Hooded oyster,0,0,0,NA,,,BI
Horned turban,0,0,0,NA,,,BI
Horse mussels nei,0,0,0,Sea mussels nei,,,BI
Humpback grouper,0,0,0,Groupers nei,,,F
Indian backwater oyster,0,0,0,NA,,,BI
Indian white prawn,0,0,0,NA,,,SH
Indo-Pacific swamp crab,0,0,0,NA,,,CRUST
Indonesian snakehead,0,0,0,NA,,,F
Inflated ark,0,0,0,NA,,,BI
"Jacks, crevalles nei",0,0,0,NA,,,F
Japanese abalone,0,0,0,NA,,,BI
Japanese amberjack,0,0,0,NA,,,F
Japanese carpet shell,0,0,0,NA,,,BI
Japanese eel,0,0,0,NA,,,F
Japanese hard clam,0,0,0,NA,,,BI
Japanese isinglass,1,1,1,NA,seaweed: agar/food,"non-food use determined by Whittaker 1910 (japanese isinglass is a type of Gelidium seaweed): https://ajph.aphapublications.org/doi/pdf/10.2105/AJPH.1.9.632; FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): http://www.fao.org/3/a-y4765e.pdf; Frangoudes 2016 (Edible seaweed in Korea): https://www.sciencedirect.com/science/article/pii/B9780128027721000026",AL
Japanese jack mackerel,0,0,0,NA,,,F
Japanese kelp,0,1,0,NA,seaweed:,food use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man ( also likely Saccharina japonica or kombu): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Japanese meagre,0,0,0,NA,,,F
Japanese sea cucumber,0,0,0,NA,,,NS-INV
Japanese seabass,0,0,0,Seabasses nei,,,F
Japanese seabream,0,0,0,NA,,,F
Japanese spiny lobster,0,0,0,NA,,,CRUST
Jellyfishes nei,0,0,0,NA,,,NS-INV
John's snapper,0,0,0,NA,,,F
Kelp nei,1,1,1,NA,seaweed: mixed use,not in FAO mariculture data 5/4/18,AL
Korean mussel,0,0,0,NA,,,BI
Korean rockfish,0,0,0,NA,,,F
Kuruma prawn,0,0,0,NA,,,SH
Large yellow croaker,0,0,0,NA,,,F
Largemouth black bass,0,0,0,Seabasses nei,,,F
Laver (Nori),0,1,0,NA,seaweed,food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22,AL
Lebranche mullet,0,0,0,NA,,,F
Lefteye flounders nei,0,0,0,NA,,,F
Longfin yellowtail,0,0,0,NA,,,F
Mackerels nei,0,0,0,NA,,,F
Malabar grouper,0,0,0,Groupers nei,,,F
Malabar trevally,0,0,0,NA,,,F
Mangrove cupped oyster,0,0,0,Cupped oysters nei,,,BI
Mangrove red snapper,0,0,0,Snappers nei,,,F
Marble goby,0,0,0,Gobies nei,,,F
Marbled spinefoot,0,0,0,NA,,,F
Marine crabs nei,0,0,0,NA,,,CRUST
Marine crustaceans nei,0,0,0,NA,,,CRUST
Marine fishes nei,0,0,0,NA,,,F
Marine molluscs nei,0,0,0,NA,,,MOLL
Masu(=Cherry) salmon,0,0,0,NA,,,F
Meagre,0,0,0,NA,,,F
Mediterranean mussel,0,0,0,NA,,,BI
Metapenaeus shrimps nei,0,0,0,NA,,,F
Mi-iuy (brown) croaker,0,0,0,NA,,,F
Milkfish,0,0,0,NA,,,F
Mojarras(=Silver-biddies) nei,0,0,0,NA,,,F
Mozambique tilapia,1,1,1,NA,freshwater,,F
Mozuku,0,1,0,NA,seaweed,"food use determined by Tongafish.gov (most of Tonga production of mozuku is shipped to Japanese market where it is used for the food market, some amounts are shipped elsewhere for use in homeopathic purposes, but unsure how much): http://www.tongafish.gov.to/images/documents/Management%20Plans/Approved%20Seaweed%20Management%20Plan%202012-2013.pdf",AL
Mud spiny lobster,0,0,0,NA,,,CRUST
Mullets nei,0,0,0,NA,,,F
Natantian decapods nei,0,0,0,NA,,,CRUST
New Zealand mussel,0,0,0,NA,,,BI
Nile perch,1,1,1,NA,freshwater,,F
Nile tilapia,1,1,1,NA,freshwater,,F
Nori nei,0,1,1,NA,seaweed,food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22,AL
Northern quahog(=Hard clam),0,0,0,NA,,,BI
Northern white shrimp,0,0,0,NA,,,SH
Octopuses nei,0,0,0,NA,,,CEPH
"Octopuses, etc. nei",0,0,0,NA,,,CEPH
Okhotsk atka mackerel,0,0,0,NA,,,F
Olympia oyster,0,0,0,NA,,,BI
Orange mud crab,0,0,0,NA,,,CRUST
Orange-spotted grouper,0,0,0,Groupers nei,,,F
Orbicular batfish,1,1,1,NA,aquarium,,F
Oriental cyclina,1,1,1,NA,was excluded,,BI
Pacific bluefin tuna,0,0,0,NA,,,F
Pacific calico scallop,0,0,0,NA,,,BI
Pacific cupped oyster,0,0,0,NA,,,BI
Pacific geoduck,0,0,0,NA,,,BI
Pacific horse clam,0,0,0,NA,,,BI
Pacific lion's paw,0,0,0,NA,,,BI
Pacific littleneck clam,0,0,0,NA,,,BI
Palaemonid shrimps nei,0,0,0,NA,,,SH
Palinurid spiny lobsters nei,0,0,0,NA,,,CRUST
Pangas catfishes nei,1,1,1,NA,freshwater,,F
Papuan black snapper,0,0,0,Snappers nei,,,F
Pargo breams nei,0,0,0,NA,,,F
Pearl oyster shells nei,0,0,0,NA,,,BI
Pen shells nei,0,0,0,NA,,,BI
Penaeus shrimps nei,0,0,0,NA,,,SH
Penguin wing oyster,0,0,0,NA,,,BI
Peppery furrow,0,0,0,NA,,,BI
Percoids nei,0,0,0,NA,,,F
Periwinkles nei,0,0,0,NA,,,BI
Perlemoen abalone,0,0,0,NA,,,BI
Peruvian calico scallop,0,0,0,Scallops nei,,,BI
Pod razor shell,0,0,0,NA,,,BI
Pollack,0,0,0,NA,,,F
Pompano,0,0,0,NA,,,F
Pompanos nei,0,0,0,NA,,,F
"Porgies, seabreams nei",0,0,0,NA,,,F
Portunus swimcrabs nei,0,0,0,NA,,,CRUST
Pullet carpet shell,0,0,0,NA,,,BI
Queen conch,0,0,0,NA,,,BI
Queen scallop,0,0,0,NA,,,BI
Rainbow trout,0,0,0,NA,,,F
Red abalone,0,0,0,NA,,,BI
Red bait,0,0,0,NA,,,TUN
Red drum,0,0,0,NA,,,F
Red porgy,0,0,0,NA,,,F
Red seaweeds,1,1,1,NA,seaweed,non-food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds): http://www.fao.org/3/a-y4765e.pdf,AL
Red swamp crawfish,1,1,1,NA,freshwater,,F
Redtail prawn,0,0,0,NA,,,SH
Righteye flounders nei,0,0,0,NA,,,F
River eels nei,1,1,1,NA,freshwater,,F
River Plata mussel,1,1,1,NA,freshwater,,BI
Rooster venus,0,0,0,NA,,,BI
Russell's snapper,0,0,0,Snappers nei,,,F
Sabaki tilapia,1,1,1,NA,freshwater,,F
Salmonids nei,0,0,0,NA,,,F
Salmonoids nei,0,0,0,NA,,,F
Sand fish,0,0,0,NA,,,NS-INV
Sand gaper,0,0,0,NA,,,BI
Sandfish,0,0,0,NA,,,NS-INV
Sargo breams nei,0,0,0,NA,,,F
Scallops nei,0,0,0,NA,,,BI
Scats,0,0,0,NA,,,F
Sciaenas nei,0,0,0,NA,,,F
"Scorpionfishes, redfishes nei",0,0,0,NA,,,F
Sea belt,1,1,1,NA,seaweed,"non-food use determined using SINTEF Fisheries and Aquaculture Norway (sea belt is also Saccharina latissima or sugar kelp, mostly used for processed agar in Norway, food market growing but seems to be small): https://www.innovasjonnorge.no/contentassets/95273c625e1c4b4caf8b4d0a36020dc0/2014-sintef---seaweed-in-the-bioeconomy.pdf; not mentioned as a main use in Forbord et al 2012: https://link.springer.com/article/10.1007/s10811-011-9784-y",AL
Sea cucumbers nei,0,0,0,NA,,,NS-INV
Sea mussels nei,0,0,0,NA,,,BI
Sea snails,0,0,0,NA,,,BI
Sea squirts nei,0,0,0,NA,,,TUN
Sea trout,0,0,0,NA,,,F
Sea urchins nei,0,0,0,NA,,,URCH
Seabasses nei,0,0,0,NA,,,F
Seaweeds nei,0,1,1,NA,seaweed,"food use determined using production value range and variety of countries - since most seaweeds are used for human consumption, include ",AL
Senegalese sole,0,0,0,NA,,,F
Sharpsnout seabream,0,0,0,NA,,,F
Shi drum,0,0,0,NA,,,F
Short-finned eel,1,1,1,NA,freshwater,,F
Silver barb,1,1,1,NA,freshwater,,F
Silver carp,1,1,1,NA,freshwater,,F
Silver seabream,1,1,1,NA,freshwater,,F
Silversides(=Sand smelts) nei,1,1,1,NA,freshwater,,F
Sixfinger threadfin,0,0,0,NA,,,F
Slipper cupped oyster,0,0,0,Cupped oysters nei,,,BI
Smooth giant clam,0,0,0,NA,,,BI
Smooth mactra,0,0,0,NA,,,BI
Snappers nei,0,0,0,NA,,,F
"Snappers, jobfishes nei",0,0,0,NA,,,F
Snooks(=Robalos) nei,0,0,0,NA,,,F
Snubnose pompano,0,0,0,NA,,,F
So-iuy mullet,0,0,0,NA,,,F
Sobaity seabream,0,0,0,NA,,,F
Sockeye(=Red) salmon,0,0,0,NA,,,F
Solen razor clams nei,0,0,0,"Clams, etc. nei",,,BI
Soles nei,0,0,0,NA,,,F
South American rock mussel,0,0,0,NA,,,BI
Southern Australia scallop,0,0,0,NA,,,BI
Southern bluefin tuna,0,0,0,NA,,,F
Southern white shrimp,0,0,0,NA,,,SH
Speckled shrimp,0,0,0,NA,,,SH
Spinefeet(=Rabbitfishes) nei,0,0,0,Metapenaeus shrimps nei,,,F
Spinous spider crab,0,0,0,NA,,,CRUST
Spiny eucheuma,1,1,1,NA,seaweed:carrageenan,"non-food use, primary carageenan use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm",AL
Spiny lobsters nei,0,0,0,NA,,,CRUST
Spotted coralgrouper,0,0,0,Groupers nei,,,F
Spotted rose snapper,0,0,0,Snappers nei,,,F
Spotted seabass,0,0,0,Seabasses nei,,,F
Spotted wolffish,0,0,0,NA,,,F
Squaretail mullet,0,0,0,NA,,,F
Stony sea urchin,0,0,0,Sea urchins nei,,,URCH
Streaked spinefoot,0,0,0,NA,,,F
"Striped bass, hybrid",0,0,0,Seabasses nei,,,F
Striped venus,0,0,0,NA,,,BI
Stromboid conchs nei,0,0,0,NA,,,BI
Sturgeons nei,0,0,0,NA,,,F
"Swimming crabs, etc. nei",0,0,0,NA,,,CRUST
Sydney cupped oyster,0,0,0,Cupped oysters nei,,,BI
Tangle,1,1,1,NA,industrial uses,"non-food use determined by Irishseaweeds (tangle is Laminaria digitata): http://www.irishseaweeds.com/kelp-laminaria-digitata/; biotech use: http://www.bim.ie/our-work/projects/developing,irish,seaweed,farming,for,high,value,products/",AL
Tarpon,0,0,0,NA,,,F
Thinlip grey mullet,0,0,0,NA,,,F
Tiger pufferfish,0,0,0,NA,,,F
Tilapias nei,1,1,1,NA,freshwater,,F
Torpedo-shaped catfishes nei,1,1,1,NA,freshwater,,F
Tropical spiny lobsters nei,0,0,0,NA,,,CRUST
Trumpet emperor,0,0,0,NA,,,F
Tuberculate abalone,0,0,0,NA,,,BI
Turbot,0,0,0,NA,,,F
Two-spot red snapper,0,0,0,Snappers nei,,,F
Variegated scallop,0,0,0,NA,,,BI
Venus clams nei,0,0,0,"Clams, etc. nei",,,BI
Waigieu seaperch,0,0,0,NA,,,F
Wakame,0,1,0,NA,seaweed: food,food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Wakame nei,0,1,1,NA,seaweed: food,food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Warty gracilaria,1,1,1,NA,seaweed,non-food use determined by FAO: http://www.fao.org/fishery/culturedspecies/Gracilaria_spp/en,AL
Warty venus,0,0,0,NA,,,BI
White seabream,0,0,0,NA,,,F
White trevally,0,0,0,NA,,,F
White-spotted spinefoot,0,0,0,NA,,,F
Whiteleg shrimp,0,0,0,NA,,,SH
Whitemouth croaker,0,0,0,NA,,,F
Yellowback seabream,0,0,0,NA,,,F
Yellowfin seabream,0,0,0,NA,,,F
Yellowfin tuna,0,0,0,NA,,,F
Yesso scallop,0,0,0,NA,,,BI
Longrayed whiptail,0,0,0,NA,,,F
Yellowtail amberjack,0,0,0,NA,,,F
Great Mediterranean scallop,0,0,0,NA,,,BI
Mediterranean shore crab,0,0,0,NA,,,CRUST
Giant kelps nei,1,1,1,NA,seaweed,non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): http://www.fao.org/3/a-y4765e.pdf,AL
Green seaweeds,1,1,1,NA,seaweed,non-food use determined using Soares et al 2017 (sounds like using seaweed as food still underutilized or growing in Portugal): http://iopscience.iop.org/article/10.1088/1757-899X/231/1/012126/pdf,AL
Beluga,0,0,0,NA,,,F
Striped bass,0,0,0,Seabasses nei,,,F
Pink dentex,0,0,0,NA,,,F
Trouts nei,0,0,0,NA,,,F
Caribbean spiny lobster,0,0,0,NA,,,CRUST
Coarse seagrape,0,1,1,NA,seaweed,food use determined using the Ministry of Marine Resources Government of the Cook Islands (seagrape is a Caulerpa): https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/88/8824bd3fd3cd8612e947eb8257e50c95.pdf?sv=2015-12-11&sr=b&sig=DrP8Q7fZlTwWVDh43O6kLr3KhZGuViZKLeHWCGMydCw%3D&se=2018-10-30T20%3A45%3A25Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_00_CookIslands_BasicInfo.pdf%22; FAO manual: http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm,AL
Pacific asaphis,0,0,0,NA,,,BI
Rough turban,0,0,0,NA,,,BI
Pufferfishes nei,0,0,0,NA,,,F
Broad geloina,0,0,0,NA,,,BI
[Sargassum spp],1,1,1,NA,seaweed,non-food use determined using FAO (most brown kelps used for alginate due to high concentration in tissues): http://www.fao.org/3/a-y4765e.pdf; Sargassum in Mexico specifically: https://www.e-algae.org/journal/view.php?number=2819,AL
Emperor red snapper,0,0,0,Snappers nei,,,F
Rainbow abalone,0,0,0,NA,,,BI
Giant trevally,0,0,0,NA,,,F
Starry sturgeon,0,0,0,Sturgeons nei,,,F
Speckled longfin eel,0,0,0,NA,,,F
Spirulina nei,1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
[Trochita spp],1,1,1,NA,,"Not a lot of information, mostly ecological studies, many southern Chileans just eat anything, might be super artisanal (pers comm. Camila Vargas)",MOLL
Green mud crab,0,0,0,NA,,http://www.fao.org/fishery/culturedspecies/Scylla_serrata/en,CRUST
Malabar blood snapper,0,0,0,NA,,http://www.fishbase.org/country/CountrySpeciesSummary.php?c_code=414&id=162,F
Crimson snapper,0,0,0,NA,,http://www.fishbase.org/summary/1406,F
[Dunaliella salina],1,1,1,NA,seaweed,"used in B-carotene, lutein, fatty acids, etc https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/dunaliella",AL
